MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366958670,2024-01-01T00:00:00,30.04206,-90.84119,0.1,182.1,511,NED FERRY,,WDB8439,52,0,32,8,5.5,52,A
373765000,2024-01-01T00:00:14,24.63679,-79.89391,11.7,238.4,232,AM CONTRECOEUR,IMO9583184,3FBX4,70,0,229,32,7,70,A
368020840,2024-01-01T00:00:16,29.95393,-88.50375,2.5,221.9,511,SUPERMAN'S TIDE,IMO0000000,WDJ8890,30,,28,7,,,B
366468000,2024-01-01T00:00:04,47.65945,-122.37937,0,148.4,356,ARCTIC FURY,IMO9031325,WDE9335,30,7,44,10,5,30,A
367532810,2024-01-01T00:00:03,29.63563,-89.923,0,115.2,511,LES GRIMM,IMO8836687,WDK9724,31,0,345,54,2.9,57,A
367789370,2024-01-01T00:00:02,29.87398,-89.72851,0,151.3,511,JODY ANN,IMO7336941,WDJ5593,31,0,17,7,2.3,31,A
338093777,2024-01-01T00:00:00,33.74053,-118.2783,0,357.3,511,LA FIREBOAT 2,IMO9271535,,51,0,32,8,5,51,A
368165040,2024-01-01T00:00:18,33.72297,-118.27982,0,360,69,ZORRO,IMO5231991,WDL7956,37,,19,6,,,B
319153600,2024-01-01T00:00:13,45.63923,-122.77786,0,191,229,EQUINOX ORENDA,IMO9572082,ZGIG,70,5,197,32,6.6,70,A
352001671,2024-01-01T00:00:18,29.47617,-89.6838,11.1,317.3,317,SAVONETTA SUN,IMO9911549,3E2694,82,0,186,32,8.4,82,A
366952000,2024-01-01T00:00:20,21.30845,-157.87337,0,123,33,CG JUNIPER,IMO9155535,NDJV,35,5,68,14,5.5,35,A
338216726,2024-01-01T00:00:24,36.60358,-121.89083,0,184,511,SHAMAN,IMO0000000,,36,,10,3,,,B
368184920,2024-01-01T00:00:27,29.64951,-91.39669,6.4,285.4,511,SANDY ANN,IMO0000000,WDM2080,31,,19,7,,,B
367748920,2024-01-01T00:00:32,35.1083,-77.00538,0,360,511,MARINER,IMO0000000,WD19470,37,,11,4,,,B
338402992,2024-01-01T00:00:33,33.91772,-78.02833,0,360,511,KELLY DOWN,IMO0000000,,37,,14,4,,,B
338246879,2024-01-01T00:00:33,48.38123,-122.51062,0,360,511,TANGAROA,IMO0000000,,37,,10,3,,,B
